Unnamed: 0.1,Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,company_number
21,2441266,siemens,siemens.com,1847.0,electrical/electronic manufacturing,10001+,"munich, bavaria, germany",germany,linkedin.com/company/siemens,87381,240528,21
121,4561063,banco santander,santander.com,1857.0,banking,10001+,"boadilla del monte, madrid, spain",spain,linkedin.com/company/banco-santander,32008,84270,121
128,451029,credit suisse,credit-suisse.com,1856.0,banking,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/credit-suisse,31429,96595,128
189,2565554,société générale,societegenerale.com,1864.0,banking,10001+,"paris, île-de-france, france",france,linkedin.com/company/societe-generale,23484,72980,189
363,5029019,ing,ing.com,1991.0,banking,10001+,"amsterdam, north holland, netherlands",netherlands,linkedin.com/company/ing,14973,41543,363
408,5150220,unicredit,unicreditgroup.eu,2014.0,banking,10001+,"milano, lombardy, italy",italy,linkedin.com/company/unicredit,13933,25727,408
421,5077397,syngenta,syngenta.com,2000.0,farming,10001+,"basel, basel-city, switzerland",switzerland,linkedin.com/company/syngenta,13440,29543,421
2287,3869000,sita,sita.aero,,information technology and services,10001+,"cointrin, geneva, switzerland",switzerland,linkedin.com/company/sita,3874,9805,2287
2412,6282766,vodafoneziggo,ziggo.com,2007.0,telecommunications,10001+,"utrecht, utrecht, netherlands",netherlands,linkedin.com/company/ziggo,3713,9201,2412
2447,2271648,"mettler-toledo international, inc",mt.com,1946.0,electrical/electronic manufacturing,10001+,"greifensee, zurich, switzerland",switzerland,linkedin.com/company/mettlertoledo,3665,7327,2447
4271,6350487,coop,coop.ch,1890.0,retail,5001 - 10000,"basel, basel-city, switzerland",switzerland,linkedin.com/company/coop_2,2371,5406,4271
5032,568229,caisse des dépôts,caissedesdepots.fr,1816.0,government administration,5001 - 10000,"paris, île-de-france, france",france,linkedin.com/company/groupe-caisse-des-dépôts,2050,5452,5032
5133,3801360,systra,systra.com,1957.0,transportation/trucking/railroad,5001 - 10000,"paris, île-de-france, france",france,linkedin.com/company/systra,2019,3795,5133
7530,43650,action,action.eu,1993.0,retail,1001 - 5000,"oost, limburg, netherlands",netherlands,linkedin.com/company/action-bv,1456,4001,7530
10219,1341471,lidl italia,lidl.it,1991.0,retail,1001 - 5000,"arcole, veneto, italy",italy,linkedin.com/company/lidl-italia-srl,1095,2127,10219
11401,707497,lbbw,lbbw.de,1818.0,banking,1001 - 5000,"stuttgart, baden-wurttemberg, germany",germany,linkedin.com/company/lbbw,989,2213,11401
12532,2609727,uefa,uefa.org,1954.0,sports,1001 - 5000,"nyon, vaud, switzerland",switzerland,linkedin.com/company/uefa,906,3213,12532
19811,3946854,edeka aktiengesellschaft,edeka-karriere.de,1907.0,retail,1001 - 5000,"hamburg, hamburg, germany",germany,linkedin.com/company/edeka-ag,588,1219,19811
21305,3091360,netcologne,netcologne.de,1994.0,telecommunications,1001 - 5000,"cologne, nordrhein-westfalen, germany",germany,linkedin.com/company/netcologne,548,707,21305
21879,2280486,canon nederland n.v.,canon.nl,1937.0,information technology and services,1001 - 5000,"bois-le-duc, noord-brabant, netherlands",netherlands,linkedin.com/company/canon-nederland-n-v-,535,1369,21879
23389,3121266,sma solar technology ag,sma.de,1981.0,renewables & environment,1001 - 5000,"kassel, hesse, germany",germany,linkedin.com/company/sma-solar-technology-ag,500,1188,23389
24333,483564,caprabo,caprabo.com,1959.0,retail,1001 - 5000,"barcelona, catalonia, spain",spain,linkedin.com/company/caprabo,482,1810,24333
24349,6439174,imtech,imtech.com,1860.0,electrical/electronic manufacturing,1001 - 5000,"gouda, south holland, netherlands",netherlands,linkedin.com/company/imtech-n-v,482,3344,24349
25159,6611759,buffalo grill,buffalo-grill.fr,,restaurants,1001 - 5000,"avrainville, ile-de-france, france",france,linkedin.com/company/buffalo-grill,466,1375,25159
25513,6797396,ayuntamiento de malaga,malaga.eu,,government administration,1001 - 5000,"malaga, andalucia, spain",spain,linkedin.com/company/ayuntamiento-de-malaga,460,1060,25513
27705,5708444,simon,simon.com.tr,1916.0,electrical/electronic manufacturing,1001 - 5000,"barcelona, catalonia, spain",spain,linkedin.com/company/simon,423,930,27705
30641,505260,carel,carel.com,1973.0,electrical/electronic manufacturing,1001 - 5000,"brugine, veneto, italy",italy,linkedin.com/company/carel,382,780,30641
30711,1013910,coin,coin.it,,retail,1001 - 5000,"venezia, veneto, italy",italy,linkedin.com/company/coin,381,1405,30711
31205,6912470,linkbynet,linkbynet.com,2000.0,information technology and services,1001 - 5000,"saint-denis-de-palin, centre, france",france,linkedin.com/company/linkbynet,375,840,31205
32174,5596838,intertoys,intertoys.nl,1976.0,retail,1001 - 5000,"waddinxveen, south holland, netherlands",netherlands,linkedin.com/company/intertoys,364,1631,32174
32934,1060577,teatro alla scala,teatroallascala.org,,performing arts,1001 - 5000,"milano, lombardy, italy",italy,linkedin.com/company/teatro-alla-scala,355,1035,32934
35072,5734382,sbb cargo,sbbcargo.com,1999.0,transportation/trucking/railroad,501 - 1000,"olten, solothurn, switzerland",switzerland,linkedin.com/company/sbb-cargo,333,652,35072
36662,454152,tape à l'oeil,t-a-o.com,1993.0,retail,501 - 1000,"wasquehal, hauts-de-france, france",france,linkedin.com/company/tape-l'oeil,318,1011,36662
37463,2484010,zooplus ag,zooplus.com,1999.0,retail,501 - 1000,"munich, bavaria, germany",germany,linkedin.com/company/zooplus-ag,311,595,37463
42419,1025501,teoresi s.p.a,teoresigroup.com,1987.0,information technology and services,501 - 1000,"torino, piedmont, italy",italy,linkedin.com/company/teoresi-s-p-a,274,564,42419
44468,3695228,comune di modena,comune.modena.it,,government administration,501 - 1000,"modena, emilia-romagna, italy",italy,linkedin.com/company/comune-di-modena,261,490,44468
44603,3174582,groupe delta dore,deltadore.com,1970.0,electrical/electronic manufacturing,501 - 1000,"bonnemain, brittany, france",france,linkedin.com/company/groupe-delta-dore,260,523,44603
47745,6338925,global intergold,globalintergold.com,2014.0,retail,501 - 1000,"zurich, zurich, switzerland",switzerland,linkedin.com/company/global-intergold,243,264,47745
50275,3837560,general optica,generaloptica.es,1955.0,retail,501 - 1000,"cornellà de llobregat, catalonia, spain",spain,linkedin.com/company/general-optica,230,523,50275
50486,2246867,xervon gmbh,xervon.com,1928.0,construction,501 - 1000,"köln, north rhine-westphalia, germany",germany,linkedin.com/company/thyssenkrupp-xervon,229,444,50486
51105,5708072,bsk,bsk.es,,construction,501 - 1000,"el puerto de santa maria, andalucia, spain",spain,linkedin.com/company/bsk,226,392,51105
52650,3297056,marktel,grupomarktel.com,1999.0,information technology and services,501 - 1000,"madrid, madrid, spain",spain,linkedin.com/company/marktel,219,647,52650
55959,1652981,sarenza,sarenza.com,2005.0,retail,501 - 1000,"paris, île-de-france, france",france,linkedin.com/company/sarenza,206,862,55959
59749,2702133,cromsource,cromsource.com,1994.0,pharmaceuticals,501 - 1000,"verona, veneto, italy",italy,linkedin.com/company/cromsource,192,368,59749
62733,6343366,giesecke & devrient,,1852.0,information technology and services,501 - 1000,"munich, bavaria, germany",germany,linkedin.com/company/giesecke-&-devrient,182,402,62733
92592,765268,mcfit global group gmbh,mcfit.com,1997.0,sports,201 - 500,"schlusselfeld, bavaria, germany",germany,linkedin.com/company/mcfit-gmbh,121,295,92592
94590,612379,metrovacesa,metrovacesa.com,1918.0,real estate,201 - 500,"madrid, madrid, spain",spain,linkedin.com/company/metrovacesa,118,556,94590
98114,5213629,vertone,vertone.com,1999.0,management consulting,201 - 500,"france, aquitaine, france",france,linkedin.com/company/vertone,113,282,98114
122508,975424,dunlop conveyor belting,dunlopcb.com,1921.0,mining & metals,201 - 500,"drachten, friesland, netherlands",netherlands,linkedin.com/company/dunlop-conveyor-belting,89,201,122508
157386,273225,ebbinge,ebbinge.nl,1982.0,management consulting,201 - 500,"amsterdam, noord-holland, netherlands",netherlands,linkedin.com/company/ebbinge,68,480,157386
178997,1049578,soges s.p.a.,sogesnetwork.eu,1974.0,management consulting,51 - 200,"torino, piedmont, italy",italy,linkedin.com/company/soges-spa,59,262,178997
193281,815319,mbp group,mbpgroup.eu,1999.0,renewables & environment,51 - 200,"neuchatel, neuchatel, switzerland",switzerland,linkedin.com/company/mbp-group,54,90,193281
237826,3933363,teatro real,teatro-real.com,1818.0,performing arts,51 - 200,"madrid, madrid, spain",spain,linkedin.com/company/teatro-real,43,189,237826
