,experience (time),turnover,female,age,industry,profession,coach,head_female,greywage,foot,extraversion,independ,selfcontrol,anxiety,novator,bus,car,Company
0,7.030800821,1,0,35.0,Banks,HR,0,1,0,0,6.2,4.1,5.7,7.1,8.3,1,0,Credit suisse
1,22.9650924,1,0,33.0,Banks,HR,0,0,0,0,6.2,4.1,5.7,7.1,8.3,1,0,Unicredit
2,15.93429158,1,1,35.0,PowerGeneration,HR,0,0,0,0,6.2,6.2,2.6,4.8,8.3,1,0,Sma solar technology ag
3,15.93429158,1,1,35.0,PowerGeneration,HR,0,0,0,0,5.4,7.6,4.9,2.5,6.7,1,0,Mbp group
4,8.410677618,1,0,32.0,Retail,Commercial,1,1,0,0,3.0,4.1,8.0,7.1,3.7,1,0,General optica
5,8.969199179,1,1,42.0,manufacture,HR,1,0,0,0,6.2,6.2,4.1,5.6,6.7,1,0,Simon
6,8.969199179,1,1,42.0,manufacture,HR,1,0,0,0,6.2,6.2,4.1,5.6,6.7,1,0,Simon
7,120.4435318,1,1,28.0,Retail,HR,0,0,0,0,3.8,5.5,8.0,4.0,4.4,1,0,Global intergold
8,8.607802875,1,1,29.0,Banks,HR,0,1,0,0,8.6,6.9,2.6,4.0,7.5,1,0,Lbbw
9,4.435318275,1,1,30.0,Consult,Marketing,1,0,0,0,5.4,5.5,3.3,7.9,8.3,1,0,Ebbinge
10,67.35112936,1,1,40.0,manufacture,HR,0,0,0,0,8.6,4.1,1.8,7.1,6.7,0,1,Groupe delta dore
11,20.92813142,1,0,23.0,Banks,HR,1,0,0,0,3.0,6.9,4.9,4.8,7.5,1,0,Ing
12,20.92813142,1,1,22.0,Consult,HR,1,1,0,1,5.4,8.4,4.9,3.3,6.0,0,0,Ebbinge
13,8.936344969,1,1,24.0,State,etc,1,1,0,1,7.0,6.2,4.1,7.1,9.0,0,0,Caisse des dépôts
14,33.57700205,1,1,25.0,etc,HR,1,1,0,1,9.4,1.2,4.1,5.6,6.7,0,0,Teatro alla scala
15,16.39425051,1,1,28.0,Building,HR,0,0,0,0,8.6,5.5,4.9,4.8,5.2,0,1,Bsk
16,15.34291581,1,1,30.0,Banks,HR,0,0,0,0,5.4,5.5,3.3,4.8,6.7,1,0,Unicredit
17,26.4476386,1,1,27.0,IT,Sales,1,0,0,0,5.4,6.9,2.6,5.6,8.3,1,0,Giesecke & devrient
18,14.71868583,1,1,36.0,Banks,HR,1,1,1,0,5.4,6.9,3.3,3.3,7.5,1,0,Lbbw
19,45.37166324,1,1,29.0,etc,HR,0,0,0,0,7.8,6.2,6.4,7.9,6.0,1,0,Teatro alla scala
20,45.37166324,1,1,29.0,etc,HR,0,0,0,0,3.8,3.4,5.7,8.7,7.5,1,0,Teatro real
